,NODE_ID,LATITUDE,LONGITUDE,geometry,demand_21,LMP_21,gen_21
0,1,30.55697639,-96.14110793,POINT (-96.14110793 30.55697639),1,0,0
1,2,30.659554,-96.114919,POINT (-96.114919 30.659554),0,0,0
2,4,30.688658,-96.072096,POINT (-96.072096 30.688658),1,1,1
3,5,30.58656197,-95.90139229,POINT (-95.90139229 30.58656197),0,0,0
4,6,30.4404773,-96.13112098,POINT (-96.13112098 30.4404773),1,0,0
5,7,30.59747701,-95.72722563,POINT (-95.72722563 30.59747701),1,0,0
6,8,30.58450737,-95.9341766,POINT (-95.9341766 30.58450737),1,0,0
7,9,30.77288,-95.98298,POINT (-95.98298 30.77288),1,0,0
8,13,30.659554,-96.114919,POINT (-96.114919 30.659554),1,0,0
9,17,30.625885,-96.10423,POINT (-96.10423 30.625885),0,0,0
10,21,30.625885,-96.10423,POINT (-96.10423 30.625885),1,0,0
11,25,30.91975578,-96.07381578,POINT (-96.07381578 30.91975578),1,0,0
12,26,31.05399667,-96.64370824,POINT (-96.64370824 31.05399667),0,0,0
13,27,30.99399667,-96.70370824,POINT (-96.70370824 30.99399667),1,0,0
14,31,30.84346,-96.64333,POINT (-96.64333 30.84346),1,0,0
15,32,30.94513563,-96.56931779,POINT (-96.56931779 30.94513563),0,0,0
16,33,31.124757,-96.267727,POINT (-96.267727 31.124757),0,0,0
17,34,31.09650109,-96.67275373,POINT (-96.67275373 31.09650109),1,0,0
18,35,30.789151,-96.527197,POINT (-96.527197 30.789151),0,0,0
19,36,30.789151,-96.527197,POINT (-96.527197 30.789151),0,0,0
20,37,31.10479607,-96.29460735,POINT (-96.29460735 31.10479607),1,0,0
21,38,30.76516,-96.48053,POINT (-96.48053 30.76516),1,0,0
22,39,31.10479607,-96.29460735,POINT (-96.29460735 31.10479607),0,1,1
23,41,31.24803802,-96.20026512,POINT (-96.20026512 31.24803802),1,0,0
24,43,31.08004156,-96.22217901,POINT (-96.22217901 31.08004156),0,0,0
25,45,31.392221,-96.35141,POINT (-96.35141 31.392221),1,0,0
26,46,31.383928,-96.257998,POINT (-96.257998 31.383928),1,0,0
27,47,31.08004156,-96.22217901,POINT (-96.22217901 31.08004156),0,0,0
28,48,31.08004156,-96.22217901,POINT (-96.22217901 31.08004156),1,0,0
29,53,30.94933,-96.58139,POINT (-96.58139 30.94933),1,0,0
30,57,31.07054349,-96.24828085,POINT (-96.24828085 31.07054349),1,0,0
31,61,30.872329,-96.749994,POINT (-96.749994 30.872329),1,0,0
32,64,30.79024,-96.819231,POINT (-96.819231 30.79024),1,0,0
33,65,30.916451,-96.926994,POINT (-96.926994 30.916451),1,0,0
34,69,31.076079,-97.115848,POINT (-97.115848 31.076079),1,0,0
35,73,31.00848922,-96.8020557,POINT (-96.8020557 31.00848922),0,0,0
36,75,30.74516,-96.953865,POINT (-96.953865 30.74516),1,0,0
37,77,31.00848922,-96.8020557,POINT (-96.8020557 31.00848922),1,0,0
38,78,30.94848922,-96.8620557,POINT (-96.8620557 30.94848922),1,0,0
39,81,32.72739688,-96.70054891,POINT (-96.70054891 32.72739688),1,0,0
40,85,31.304194,-96.516632,POINT (-96.516632 31.304194),0,0,0
41,86,31.379812,-96.220514,POINT (-96.220514 31.379812),0,0,0
42,89,31.304194,-96.516632,POINT (-96.516632 31.304194),1,0,0
43,91,31.35473,-96.941359,POINT (-96.941359 31.35473),0,0,0
44,92,31.35473,-96.941359,POINT (-96.941359 31.35473),1,0,0
45,93,31.14769,-96.52134,POINT (-96.52134 31.14769),1,0,0
46,95,31.52427623,-97.00568308,POINT (-97.00568308 31.52427623),1,0,0
47,99,31.503133,-96.686782,POINT (-96.686782 31.503133),1,0,0
48,103,31.438558,-96.675396,POINT (-96.675396 31.438558),1,0,0
49,104,31.67635,-95.860739,POINT (-95.860739 31.67635),1,0,0
50,107,31.652228,-96.774643,POINT (-96.774643 31.652228),1,0,0
51,110,30.850508,-97.193858,POINT (-97.193858 30.850508),1,0,0
52,114,30.824327,-97.462219,POINT (-97.462219 30.824327),0,0,0
53,115,30.98737081,-97.7666801,POINT (-97.7666801 30.98737081),1,0,0
54,116,30.611843,-97.139356,POINT (-97.139356 30.611843),1,0,0
55,117,30.92927284,-97.68633532,POINT (-97.68633532 30.92927284),1,0,0
56,118,30.824327,-97.462219,POINT (-97.462219 30.824327),1,0,0
57,120,30.685543,-96.962784,POINT (-96.962784 30.685543),1,0,0
58,121,30.80232532,-97.60764767,POINT (-97.60764767 30.80232532),1,0,0
59,122,30.801768,-97.544563,POINT (-97.544563 30.801768),1,0,0
60,125,30.971111,-97.512697,POINT (-97.512697 30.971111),1,0,0
61,126,31.063779,-97.438882,POINT (-97.438882 31.063779),0,0,0
62,127,30.62004738,-97.21109286,POINT (-97.21109286 30.62004738),1,0,0
63,128,31.05591243,-97.7570313,POINT (-97.7570313 31.05591243),0,0,0
64,130,31.082642,-97.288167,POINT (-97.288167 31.082642),0,0,0
65,131,31.082642,-97.288167,POINT (-97.288167 31.082642),0,0,0
66,132,31.00456529,-97.25960297,POINT (-97.25960297 31.00456529),0,0,0
67,133,31.00456529,-97.25960297,POINT (-97.25960297 31.00456529),0,0,0
68,136,31.00632,-97.67626,POINT (-97.67626 31.00632),1,0,0
69,137,31.30475797,-97.39696229,POINT (-97.39696229 31.30475797),1,0,0
70,139,31.14143939,-97.43411619,POINT (-97.43411619 31.14143939),0,0,0
71,140,32.10826043,-96.48063935,POINT (-96.48063935 32.10826043),1,0,0
72,141,31.23133,-97.381044,POINT (-97.381044 31.23133),1,0,0
73,142,31.328402,-97.568592,POINT (-97.568592 31.328402),0,0,0
74,145,31.328402,-97.568592,POINT (-97.568592 31.328402),1,0,0
75,146,31.38042492,-97.2786375,POINT (-97.2786375 31.38042492),1,0,0
76,147,31.35243,-97.23081,POINT (-97.23081 31.35243),1,0,0
77,149,31.41985032,-97.64538307,POINT (-97.64538307 31.41985032),0,0,0
78,152,,,POINT EMPTY,1,0,0
79,153,31.43747542,-97.58378856,POINT (-97.58378856 31.43747542),1,0,0
80,157,31.378522,-97.621476,POINT (-97.621476 31.378522),1,0,0
81,158,31.53549679,-97.79756623,POINT (-97.79756623 31.53549679),0,0,0
82,161,31.444294,-97.427212,POINT (-97.427212 31.444294),1,0,0
83,165,31.49947,-97.308884,POINT (-97.308884 31.49947),0,0,0
84,169,31.49947,-97.308884,POINT (-97.308884 31.49947),1,0,0
85,170,31.42790893,-97.31751033,POINT (-97.31751033 31.42790893),1,0,0
86,173,31.537607,-97.40705,POINT (-97.40705 31.537607),1,0,0
87,175,31.65104,-97.30854,POINT (-97.30854 31.65104),1,0,0
88,177,31.660002,-97.38065,POINT (-97.38065 31.660002),1,0,0
89,178,,,POINT EMPTY,0,0,0
90,181,31.81915,-97.396532,POINT (-97.396532 31.81915),1,0,0
91,185,32.03968249,-96.82119622,POINT (-96.82119622 32.03968249),1,0,0
92,186,31.99727,-96.37489,POINT (-96.37489 31.99727),0,0,0
93,190,31.999995,-96.644092,POINT (-96.644092 31.999995),1,0,0
94,192,32.310334,-96.548469,POINT (-96.548469 32.310334),1,0,0
95,193,32.10532,-96.65082,POINT (-96.65082 32.10532),1,0,0
96,194,32.01756,-96.647881,POINT (-96.647881 32.01756),1,0,0
97,195,31.890178,-96.113556,POINT (-96.113556 31.890178),1,0,0
98,196,31.758876,-96.182943,POINT (-96.182943 31.758876),1,0,0
99,197,31.17940632,-96.49313092,POINT (-96.49313092 31.17940632),1,0,0
100,198,32.053609,-96.796052,POINT (-96.796052 32.053609),1,0,0
101,200,32.113592,-96.482099,POINT (-96.482099 32.113592),1,0,0
102,201,32.46291189,-96.7997398,POINT (-96.7997398 32.46291189),1,0,0
103,202,32.313782,-96.70267,POINT (-96.70267 32.313782),0,0,0
104,203,32.445096,-96.845555,POINT (-96.845555 32.445096),1,0,0
105,204,32.62127927,-97.32717508,POINT (-97.32717508 32.62127927),1,0,0
106,205,32.63439915,-97.35382063,POINT (-97.35382063 32.63439915),0,0,0
107,208,32.05594123,-96.25173788,POINT (-96.25173788 32.05594123),1,0,0
108,209,31.646454,-96.320049,POINT (-96.320049 31.646454),1,0,0
109,210,32.313782,-96.70267,POINT (-96.70267 32.313782),1,0,0
110,211,32.081293,-96.198524,POINT (-96.198524 32.081293),1,0,0
111,212,31.95460761,-96.07697107,POINT (-96.07697107 31.95460761),1,0,0
112,213,31.94269823,-96.53928912,POINT (-96.53928912 31.94269823),1,0,0
113,214,32.457529,-96.73778,POINT (-96.73778 32.457529),0,0,0
114,216,32.366066,-96.661523,POINT (-96.661523 32.366066),1,0,0
115,217,32.531334,-96.851011,POINT (-96.851011 32.531334),1,0,0
116,218,32.457529,-96.73778,POINT (-96.73778 32.457529),1,0,0
117,220,32.61495686,-96.92458175,POINT (-96.92458175 32.61495686),1,0,0
118,221,32.49447,-96.741363,POINT (-96.741363 32.49447),1,0,0
119,222,32.49447,-96.741363,POINT (-96.741363 32.49447),0,0,0
120,223,32.52281893,-97.08843638,POINT (-97.08843638 32.52281893),1,0,0
121,224,32.156421,-97.154375,POINT (-97.154375 32.156421),1,0,0
122,225,32.17705,-96.842732,POINT (-96.842732 32.17705),1,0,0
123,228,31.972234,-97.260529,POINT (-97.260529 31.972234),1,0,0
124,230,32.5980292,-96.60715442,POINT (-96.60715442 32.5980292),0,0,0
125,232,31.978215,-97.366542,POINT (-97.366542 31.978215),0,0,0
126,234,31.976567,-97.130393,POINT (-97.130393 31.976567),1,0,0
127,236,31.978215,-97.366542,POINT (-97.366542 31.978215),1,0,0
128,237,32.03467,-97.27709,POINT (-97.27709 32.03467),1,0,0
129,240,31.8667,-97.3712,POINT (-97.3712 31.8667),0,0,0
130,241,31.86063144,-97.36531941,POINT (-97.36531941 31.86063144),0,0,0
131,242,31.8667,-97.3712,POINT (-97.3712 31.8667),0,1,1
132,243,31.864442,-97.418497,POINT (-97.418497 31.864442),0,0,0
133,246,31.68586881,-97.37505246,POINT (-97.37505246 31.68586881),0,1,0
134,249,31.74611579,-97.17731819,POINT (-97.17731819 31.74611579),1,0,0
135,250,31.40547,-97.695638,POINT (-97.695638 31.40547),0,0,0
136,252,31.8605863,-97.36521575,POINT (-97.36521575 31.8605863),0,1,1
137,254,31.40547,-97.695638,POINT (-97.695638 31.40547),1,0,0
138,258,31.6763119,-98.06922962,POINT (-98.06922962 31.6763119),1,0,0
139,260,31.090794,-98.053504,POINT (-98.053504 31.090794),1,0,0
140,262,31.65388,-98.42546,POINT (-98.42546 31.65388),1,0,0
